Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927715.130954,162,1669927715,130415201,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1410043,163,1669927715,140702724,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.150654,164,1669927715,150395393,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1606271,165,1669927715,160397291,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1710258,166,1669927715,170689344,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1808574,167,1669927715,180429935,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1909037,168,1669927715,190578222,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2008455,169,1669927715,200404644,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2107956,170,1669927715,210531234,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2207975,171,1669927715,220394849,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2314239,172,1669927715,230488538,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.240594,173,1669927715,240415811,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2508447,174,1669927715,250484943,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2608283,175,1669927715,260420560,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2707183,176,1669927715,270445823,,-2.5566347176209092e-05,2.5566347176209092e-05,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.280891,177,1669927715,280483484,,-2.5566347176209092e-05,0.0,0.0,-2.5566347176209092e-05,-29,60,-28,66
1669927715.2907722,178,1669927715,290487289,,-2.5566347176209092e-05,0.0,0.0,-2.5566347176209092e-05,-29,60,-28,66
